Sake,SMV,Body,Fruitiness,Floralness,Earthiness,Savoriness,Richness,Acidity,Aged,Juiciness,Nigori,Price_by_gls,Price_by_btl,Prefecture,Style,Image,Notes,Tasting_notes,x,y
Masumi_Ki_Ippon,4,2,3,2,2,2,2,3,0,3,0,20.0,,Nagano,Junmai Ginjo,/images/masumi_ki_ippon.jpg,"Ki-ippon refers to sake that is only made at a single brewing site, equivalent to a single malt in terms of whisky. Dry but light and slightly fruity sake. ","Dry, apples",-1.1578408548079746,0.09223444969452203
Akabu_Junmai,2,3,4,2,1,1,2,3,0,3,0,20.0,102.0,Iwate,Junmai,/images/akabu_junmai.jpg,"Akabu brewery was once completely destroyed during the 2011 earthquake, being hit by the waves of tsunami. The yeast used is called ""Giovanni's symphony"", a yeast known to produce melon like aroma.","Melon, flower, pear",-2.5375561857564213,0.2798317575123103
Fukucho_Forgotten_Fortune,3,2,3,2,2,1,2,3,0,2,0,20.0,102.0,Hiroshima,Junmai,/images/fukucho_forgotten_fortune.jpg,"The rice used for this sake is called Hattanso. It is an older variety of rice. It grows tall (over 5ft) which causes it to fall easily, making it hard to grow. It was once near extinct, currently Fukucho is the only brewery that grows and uses it. It is also only pasteurized once. ","Light, crisp",-1.329824848904989,-0.2479127943984447
Wakaze_Nigori,1,3,2,2,1,1,3,3,0,3,1,20.0,102.0,France,Junmai,/images/wakaze_nigori.jpg,"Brewed in Paris, France. This sake is brewed with French rice called camargue. It is also brewed with a white wine yeast called ""L'elegante"".  ","Melon, banana",-2.9891659107726647,1.8865935415469017
Tomita_Shichihonyari,4,3,1,3,4,3,3,2,0,1,0,20.0,102.0,Shiga,Junmai,/images/tomita_shichihonyari.jpg,Tomita brewery is the third oldest brewery in Japan established in 1534. ,"Mushroom, melon, earth",1.7111775322531795,-1.9720111892690362
Yuho_Eternal_Embers,4,3,2,2,3,3,3,2,0,2,0,20.0,102.0,Ishikawa,Junmai,/images/yuho_eternal_embers.jpg,"""Yuho"" is how UFO is pronounced in Japanese. Ishikawa prefecture has had records of UFO sightings from the 1700s.","Fig, raisin",0.9092955266450354,-0.9033752082271235
Kinmon_Akita_Rose,3,4,3,3,3,3,4,3,1,2,0,,400.0,Akita,Junmai Koshu,/images/kinmon_akita_rose.jpg,"Only 240 bottles in the US. Aged for 4 years. Made with heirloom red rice and three different kind of kojis. Very complex, rich, and elegant. It is recommended to be served in a white wine glass.","Honey, apple juice, maple",1.7450191649455047,1.7796504509676967
Tamagawa_Ice_Breaker,4,4,2,2,2,2,4,2,1,2,0,20.0,80.0,Kyoto,Junmai Ginjo,/images/tamagawa_ice_breaker.jpg,"Brewed by the very first non Japanese master brewer, Philip Harper. It is unpasteurized, uncharcoal filtered, and undiluted. This sake is not made with the Yamahai method, unlike the Red Label. It has a silky texture due to its slight aging process. ","Orange, sweet rice, jasmine",2.083060608517577,0.42042751879478274
Shiokawa_Cowboy,4,4,1,2,3,5,4,2,0,1,0,20.0,102.0,Niigata,Junmai Ginjo,/images/shiokawa_cowboy.jpg,Rich and savory sake originally brewed to be paired with Texas steak. ,"Musky fruit, steamed rice, rich, bold",2.811209877135571,-1.05958999932542
Tedorigawa_Lady_Luck,4,2,4,4,1,1,2,2,0,2,0,21.0,110.0,Ishikawa,Junmai Daiginjo,/images/tedorigawa_lady_luck.jpg,"Brewed in limited amounts for the Association of Lady Sake Retailers. Light, dry, crisp.","Asian pear, mineral",-2.041875458244932,-1.890429758055653
Sake_one_G_Fifty,4,4,2,2,2,2,3,2,0,2,0,20.0,102.0,Oregon,Junmai Ginjo,/images/sake_one_g_fifty.jpg,Brewed by Sake One brewery in Oregon. G stands for genshu and fifty refers to the polishing ratio. The polishing ratio here (50%) technically qualifies as Daiginjo in Japan's standard but they are keeping the label as ginjo.,"Rich, full bodied",0.6421268178434748,-0.6039760561364913
Hananomai_Katana,5,3,3,2,2,3,2,2,0,2,0,20.0,102.0,Shizuoka,Junmai Ginjo,/images/hananomai_katana.jpg,"The white gold hue of this sake indicates a slightly longer brewing process, which helps it develop its dryness. ","Orange, black pepper, honey",-0.039692747841373284,-1.1501656930292794
Kinmon_Akita_Assemblage,4,4,3,3,3,2,4,2,1,2,0,21.0,110.0,Akita,Blend,/images/kinmon_akita_assemblage.jpg,"This sake is a blend of three different batches of sake. One is honjozo style, one junmai, and the other koshu (aged). ","Earthy, taffy, fruity",2.1425773819931955,0.9759114348484517
Tensei_Infinite_Summer,3,2,4,3,2,2,2,3,0,2,0,20.0,102.0,Kanagawa,Honjozo,/images/tensei_infinite_summer.jpg,,,-1.6120213846295153,-0.5615955154563993
